algorithm,len,ed,time,clock_time,calls
branch_and_bound_cnt,2,0,0.0,1.6100000010510485e-05,3
pure_recursion,2,0,0.0,2.3300000009385258e-05,1
divide_and_conquer,2,0,0.0,6.690000000730834e-05,1
dinamic_programming,2,0,0.0,2.739999999334941e-05,1
dinamic_programming_2,2,0,0.0009975433349609375,0.00011820000000284381,1
greedy_approach,2,0,0.0,4.870000000778418e-05,1
branch_and_bound_len,2,0,0.0,1.1199999988775744e-05,3
branch_and_bound_cnt,2,0,0.0,1.9600000001673834e-05,3
pure_recursion,2,0,0.0,2.3999999996249244e-05,1
divide_and_conquer,2,0,0.0009975433349609375,7.80000000020209e-05,1
dinamic_programming,2,0,0.0,2.4499999994986865e-05,1
dinamic_programming_2,2,0,0.0,7.53999999858479e-05,1
greedy_approach,2,0,0.0,4.819999998062485e-05,1
branch_and_bound_len,2,0,0.0,1.0500000001911758e-05,3
branch_and_bound_cnt,2,0,0.0,1.680000002579618e-05,3
pure_recursion,2,0,0.0,2.3699999985637987e-05,1
divide_and_conquer,2,0,0.0,7.070000000908294e-05,1
dinamic_programming,2,0,0.0,2.5300000004335743e-05,1
dinamic_programming_2,2,0,0.0,0.00011670000000663094,1
greedy_approach,2,0,0.0,7.060000001501976e-05,1
branch_and_bound_len,2,0,0.0,1.589999999396241e-05,3
branch_and_bound_cnt,2,0,0.0,2.3999999996249244e-05,3
pure_recursion,2,0,0.0,3.649999999311149e-05,1
divide_and_conquer,2,0,0.0,8.059999998977219e-05,1
dinamic_programming,2,0,0.0,2.5899999997136547e-05,1
dinamic_programming_2,2,0,0.0,7.719999999267202e-05,1
greedy_approach,2,0,0.0,4.809999998656167e-05,1
branch_and_bound_len,2,0,0.0,1.0800000012523014e-05,3
branch_and_bound_cnt,2,0,0.0,1.629999999863685e-05,3
pure_recursion,2,0,0.0,2.3499999997511622e-05,1
divide_and_conquer,2,0,0.0,7.149999999001011e-05,1
dinamic_programming,2,0,0.0,2.4999999993724487e-05,1
dinamic_programming_2,2,0,0.0,7.619999999519678e-05,1
greedy_approach,2,0,0.0,4.720000001157132e-05,1
branch_and_bound_len,2,0,0.0,1.0400000007848575e-05,3
branch_and_bound_cnt,2,0,0.0,1.670000000331129e-05,3
pure_recursion,2,0,0.0,2.340000000344844e-05,1
divide_and_conquer,3,0,0.0,0.00010969999999588254,1
dinamic_programming,3,0,0.0,2.5899999997136547e-05,1
dinamic_programming_2,3,0,0.0,9.500000001594344e-05,1
greedy_approach,3,0,0.0,5.5000000003246896e-05,1
branch_and_bound_len,3,0,0.0,3.0100000003585592e-05,4
branch_and_bound_cnt,3,0,0.0,4.139999998642452e-05,4
pure_recursion,3,0,0.000997781753540039,0.0001673999999809439,1
divide_and_conquer,3,0,0.0,0.00015679999998496896,1
dinamic_programming,3,0,0.0,2.779999999802385e-05,1
dinamic_programming_2,3,0,0.0,0.00010140000000546934,1
greedy_approach,3,0,0.0009970664978027344,6.059999998342391e-05,1
branch_and_bound_len,3,0,0.0,1.3499999994337486e-05,4
branch_and_bound_cnt,3,0,0.0,2.0500000005085894e-05,4
pure_recursion,3,0,0.0,9.109999999168394e-05,1
divide_and_conquer,3,0,0.0,0.00011379999997984669,1
dinamic_programming,3,0,0.0,3.610000001685876e-05,1
dinamic_programming_2,3,0,0.0,0.0001610999999854812,1
greedy_approach,3,0,0.0,8.700000000771979e-05,1
branch_and_bound_len,3,0,0.0,1.950000000761065e-05,4
branch_and_bound_cnt,3,0,0.0,3.219999999259926e-05,4
pure_recursion,3,0,0.0,0.00016879999998309358,1
divide_and_conquer,3,0,0.000997304916381836,0.00011429999997858431,1
dinamic_programming,3,0,0.0,2.599999999119973e-05,1
dinamic_programming_2,3,0,0.0,9.629999999560823e-05,1
greedy_approach,3,0,0.0,5.600000000072214e-05,1
branch_and_bound_len,3,0,0.0,1.3300000006211121e-05,4
branch_and_bound_cnt,3,0,0.0,3.000000000952241e-05,4
pure_recursion,3,0,0.0,0.00016249999998763087,1
divide_and_conquer,3,0,0.000997304916381836,0.00014009999998165767,1
dinamic_programming,3,0,0.0,3.6800000003722744e-05,1
dinamic_programming_2,3,0,0.0,0.0001615999999842188,1
greedy_approach,3,0,0.0,8.639999998649728e-05,1
branch_and_bound_len,3,0,0.0,2.029999998853782e-05,4
branch_and_bound_cnt,3,0,0.0,3.12999999891872e-05,4
pure_recursion,3,0,0.0,0.00016890000000557848,1
divide_and_conquer,3,0,0.0,0.00010839999998779604,1
dinamic_programming,3,0,0.0,2.5899999997136547e-05,1
dinamic_programming_2,3,0,0.0,9.560000000874425e-05,1
greedy_approach,3,0,0.0,5.570000001853259e-05,1
branch_and_bound_len,3,0,0.0,1.3300000006211121e-05,4
branch_and_bound_cnt,3,0,0.0,1.990000001228509e-05,4
pure_recursion,3,0,0.0,0.0002537999999958629,1
divide_and_conquer,3,0,0.0,0.00014149999998380736,1
dinamic_programming,3,0,0.0,3.7800000001197986e-05,1
dinamic_programming_2,3,0,0.0,0.00016470000002755114,1
greedy_approach,3,0,0.0,8.769999999458378e-05,1
branch_and_bound_len,3,0,0.0,2.0199999994474638e-05,4
branch_and_bound_cnt,3,0,0.0,3.12999999891872e-05,4
pure_recursion,3,0,0.0,0.00016969999998650565,1
divide_and_conquer,3,0,0.0,0.0001220999999986816,1
dinamic_programming,3,0,0.0,3.90000000152213e-05,1
dinamic_programming_2,3,0,0.0,9.739999998714666e-05,1
greedy_approach,3,0,0.0,5.520000001979497e-05,1
branch_and_bound_len,3,0,0.0,1.3300000006211121e-05,4
branch_and_bound_cnt,3,0,0.0,2.0400000011022712e-05,4
pure_recursion,3,0,0.0,9.070000001543121e-05,1
divide_and_conquer,3,0,0.0,0.00013440000000741747,1
dinamic_programming,3,0,0.0,3.5499999995636244e-05,1
dinamic_programming_2,3,0,0.0,0.00015999999999394277,1
greedy_approach,3,0,0.0,8.669999999710853e-05,1
branch_and_bound_len,3,0,0.0,1.9600000001673834e-05,4
branch_and_bound_cnt,3,0,0.0,3.12999999891872e-05,4
pure_recursion,3,0,0.0,0.00016759999999749198,1
divide_and_conquer,3,0,0.0,0.00013979999999946813,1
dinamic_programming,3,0,0.0,3.5600000018121136e-05,1
dinamic_programming_2,3,0,0.0,0.0001596999999833315,1
greedy_approach,3,0,0.0,8.510000000683249e-05,1
branch_and_bound_len,3,0,0.0,1.97999999898002e-05,4
branch_and_bound_cnt,3,0,0.0,3.1100000001060835e-05,4
pure_recursion,3,0,0.0009980201721191406,0.00017239999999674183,1
divide_and_conquer,4,0,0.0,0.00015899999999646752,1
dinamic_programming,4,0,0.0,2.820000000269829e-05,1
dinamic_programming_2,4,0,0.0,0.0001226999999914824,1
greedy_approach,4,0,0.0,6.179999999744723e-05,1
branch_and_bound_len,4,0,0.0,2.419999998437561e-05,5
branch_and_bound_cnt,4,0,0.0,4.029999999488609e-05,5
pure_recursion,4,0,0.000997781753540039,0.0010586999999873115,1
divide_and_conquer,4,0,0.0,0.00014980000000264226,1
dinamic_programming,4,0,0.0,2.8899999989562275e-05,1
dinamic_programming_2,4,0,0.0,0.0001226999999914824,1
greedy_approach,4,0,0.0,6.310000000553373e-05,1
branch_and_bound_len,4,0,0.0,1.6099999982088775e-05,5
branch_and_bound_cnt,4,0,0.0,2.5499999992462108e-05,5
pure_recursion,4,0,0.000997781753540039,0.0009480999999880169,1
divide_and_conquer,4,0,0.0,0.0001425000000097043,1
dinamic_programming,4,0,0.0,2.729999999928623e-05,1
dinamic_programming_2,4,0,0.0,0.00011800000001471744,1
greedy_approach,4,0,0.0,6.270000000085929e-05,1
branch_and_bound_len,4,0,0.0,1.550000001770968e-05,5
branch_and_bound_cnt,4,0,0.0,2.3499999997511622e-05,5
pure_recursion,4,0,0.0009980201721191406,0.0004352000000267253,1
divide_and_conquer,4,0,0.0,0.00020240000000626424,1
dinamic_programming,4,0,0.0,3.939999999147403e-05,1
dinamic_programming_2,4,0,0.0,0.00021790000002397392,1
greedy_approach,4,0,0.0,0.00010310000001823028,1
branch_and_bound_len,4,0,0.0,2.3999999996249244e-05,5
branch_and_bound_cnt,4,0,0.0,3.8600000010546864e-05,5
pure_recursion,4,0,0.0009975433349609375,0.0009284000000207016,1
divide_and_conquer,4,0,0.0009984970092773438,0.0003554000000178803,1
dinamic_programming,4,0,0.0,3.930000002583256e-05,1
dinamic_programming_2,4,0,0.0,0.0002159999999946649,1
greedy_approach,4,0,0.0,0.00010249999999700776,1
branch_and_bound_len,4,0,0.0,2.3999999996249244e-05,5
branch_and_bound_cnt,4,0,0.0,4.03000000233078e-05,5
pure_recursion,4,0,0.000997304916381836,0.0009794000000056258,1
divide_and_conquer,4,0,0.0,0.00014600000000086766,1
dinamic_programming,4,0,0.0,2.8499999984887836e-05,1
dinamic_programming_2,4,0,0.0,0.00012549999999578176,1
greedy_approach,4,0,0.0,6.210000000805849e-05,1
branch_and_bound_len,4,0,0.0,1.6000000016447302e-05,5
branch_and_bound_cnt,4,0,0.0,3.9899999990211654e-05,5
pure_recursion,4,0,0.0009980201721191406,0.000858599999986609,1
divide_and_conquer,4,0,0.0009961128234863281,0.0001642000000003918,1
dinamic_programming,4,0,0.0,2.7600000009897485e-05,1
dinamic_programming_2,4,0,0.0,0.00012150000000588079,1
greedy_approach,4,0,0.0,6.209999997963678e-05,1
branch_and_bound_len,4,0,0.0,1.5100000013035242e-05,5
branch_and_bound_cnt,4,0,0.0,2.340000000344844e-05,5
pure_recursion,4,0,0.0,0.0004341000000067652,1
divide_and_conquer,4,0,0.0,0.0002148000000090633,1
dinamic_programming,4,0,0.0,3.889999999273641e-05,1
dinamic_programming_2,4,0,0.0,0.00025349999998525163,1
greedy_approach,4,0,0.0,0.00011390000000233158,1
branch_and_bound_len,4,0,0.0,2.469999998311323e-05,5
branch_and_bound_cnt,4,0,0.0,3.9499999985537215e-05,5
pure_recursion,4,0,0.000997304916381836,0.0008338000000094326,1
divide_and_conquer,4,0,0.0,0.00015930000000707878,1
dinamic_programming,4,0,0.0,2.7499999987412593e-05,1
dinamic_programming_2,4,0,0.0009970664978027344,0.0001642000000003918,1
greedy_approach,4,0,0.0,6.230000002460656e-05,1
branch_and_bound_len,4,0,0.0,1.5700000005836046e-05,5
branch_and_bound_cnt,4,0,0.0,2.4400000000923683e-05,5
pure_recursion,4,0,0.0,0.00043240000002242596,1
divide_and_conquer,4,0,0.0,0.0002018999999791049,1
dinamic_programming,4,0,0.0,3.84000000224205e-05,1
dinamic_programming_2,4,0,0.0,0.000238500000023123,1
greedy_approach,4,0,0.000997304916381836,0.00010880000002089218,1
branch_and_bound_len,4,0,0.0,2.510000001620938e-05,5
branch_and_bound_cnt,4,0,0.0,3.970000000208529e-05,5
pure_recursion,4,0,0.0,0.0008148000000005595,1
divide_and_conquer,5,0,0.0,0.00019079999998439234,1
dinamic_programming,5,0,0.0,2.859999997895102e-05,1
dinamic_programming_2,5,0,0.0,0.00014899999999329339,1
greedy_approach,5,0,0.0009980201721191406,0.00015820000001554035,1
branch_and_bound_len,5,0,0.0,2.689999999461179e-05,6
branch_and_bound_cnt,5,0,0.0,4.189999998516214e-05,6
pure_recursion,5,0,0.003989219665527344,0.004303500000020222,1
divide_and_conquer,5,0,0.0,0.0002116000000000895,1
dinamic_programming,5,0,0.0,2.8799999995499093e-05,1
dinamic_programming_2,5,0,0.0009982585906982422,0.00019850000001042645,1
greedy_approach,5,0,0.0,6.999999999379725e-05,1
branch_and_bound_len,5,0,0.0,1.720000000204891e-05,6
branch_and_bound_cnt,5,0,0.0,2.8100000008635106e-05,6
pure_recursion,5,0,0.001995086669921875,0.0022532000000126118,1
divide_and_conquer,5,0,0.0,0.00039800000001832814,1
dinamic_programming,5,0,0.0,4.14999999804877e-05,1
dinamic_programming_2,5,0,0.0,0.00028850000001057197,1
greedy_approach,5,0,0.0,0.000120200000026216,1
branch_and_bound_len,5,0,0.0,2.909999997768864e-05,6
branch_and_bound_cnt,5,0,0.0,4.6499999996285624e-05,6
pure_recursion,5,0,0.00399017333984375,0.00437949999999887,1
divide_and_conquer,5,0,0.0,0.00021060000000261425,1
dinamic_programming,5,0,0.0,2.7899999992087032e-05,1
dinamic_programming_2,5,0,0.0,0.00015219999997384548,1
greedy_approach,5,0,0.0,7.019999998192361e-05,1
branch_and_bound_len,5,0,0.0,1.7799999994849713e-05,6
branch_and_bound_cnt,5,0,0.0,2.7499999987412593e-05,6
pure_recursion,5,0,0.003988981246948242,0.004234900000000152,1
divide_and_conquer,5,0,0.0,0.00029419999998481217,1
dinamic_programming,5,0,0.0,4.7499999993760866e-05,1
dinamic_programming_2,5,0,0.0,0.0002685999999982869,1
greedy_approach,5,0,0.0,0.00011980000002154156,1
branch_and_bound_len,5,0,0.0,2.859999997895102e-05,6
branch_and_bound_cnt,5,0,0.0009965896606445312,4.930000000058499e-05,6
pure_recursion,5,0,0.003988742828369141,0.0043861999999990076,1
divide_and_conquer,5,0,0.0,0.00020420000001308836,1
dinamic_programming,5,0,0.0,2.909999997768864e-05,1
dinamic_programming_2,5,0,0.0,0.0001527000000010048,1
greedy_approach,5,0,0.0,6.950000002348133e-05,1
branch_and_bound_len,5,0,0.0,1.7900000017334605e-05,6
branch_and_bound_cnt,5,0,0.0,2.7699999975538958e-05,6
pure_recursion,5,0,0.001993894577026367,0.0022877000000107728,1
divide_and_conquer,5,0,0.0,0.0002883999999880871,1
dinamic_programming,5,0,0.0,2.9800000021396045e-05,1
dinamic_programming_2,5,0,0.0,0.00015419999999721767,1
greedy_approach,5,0,0.0009980201721191406,7.460000000492073e-05,1
branch_and_bound_len,5,0,0.0,1.720000000204891e-05,6
branch_and_bound_cnt,5,0,0.0,2.7100000011159864e-05,6
pure_recursion,5,0,0.003988027572631836,0.0033900999999900705,1
divide_and_conquer,5,0,0.0,0.0002990999999781252,1
dinamic_programming,5,0,0.0,4.2600000000447835e-05,1
dinamic_programming_2,5,0,0.0,0.00034790000000839427,1
greedy_approach,5,0,0.0,0.0001329000000112046,1
branch_and_bound_len,5,0,0.0,2.859999997895102e-05,6
branch_and_bound_cnt,5,0,0.0,4.7499999993760866e-05,6
pure_recursion,5,0,0.00498509407043457,0.004215799999997216,1
divide_and_conquer,5,0,0.0,0.0003954999999962183,1
dinamic_programming,5,0,0.0,4.3900000008534334e-05,1
dinamic_programming_2,5,0,0.0,0.000160999999991418,1
greedy_approach,5,0,0.0,6.989999999973406e-05,1
branch_and_bound_len,5,0,0.0,1.8300000022009044e-05,6
branch_and_bound_cnt,5,0,0.0,2.829999999676147e-05,6
pure_recursion,5,0,0.004987001419067383,0.004416999999989457,1
divide_and_conquer,5,0,0.0,0.0003316999999753989,1
dinamic_programming,5,0,0.0,4.200000000764703e-05,1
dinamic_programming_2,5,0,0.0,0.00028799999998341264,1
greedy_approach,5,0,0.0,0.00011910000000625587,1
branch_and_bound_len,5,0,0.0,3.0199999997648774e-05,6
branch_and_bound_cnt,5,0,0.0,4.629999997973755e-05,6
pure_recursion,5,0,0.004986286163330078,0.004550300000005336,1
divide_and_conquer,6,0,0.0,0.000397599999985232,1
dinamic_programming,6,0,0.000997781753540039,4.580000000942164e-05,1
dinamic_programming_2,6,0,0.0,0.00032039999999255997,1
greedy_approach,6,0,0.0,0.00010509999998475905,1
branch_and_bound_len,6,0,0.0,2.030000001695953e-05,7
branch_and_bound_cnt,6,0,0.0,5.8499999994410246e-05,7
pure_recursion,6,0,0.0249330997467041,0.02525700000001052,1
divide_and_conquer,6,0,0.0,0.0004147000000216394,1
dinamic_programming,6,0,0.0,4.809999998656167e-05,1
dinamic_programming_2,6,0,0.000997781753540039,0.00036330000000361906,1
greedy_approach,6,0,0.0,0.00010330000000635664,1
branch_and_bound_len,6,0,0.0,3.170000002228335e-05,7
branch_and_bound_cnt,6,0,0.0,5.0600000008671486e-05,7
pure_recursion,6,0,0.023937225341796875,0.02410029999998642,1
divide_and_conquer,6,0,0.000997304916381836,0.0003873999999939315,1
dinamic_programming,6,0,0.0,5.790000000160944e-05,1
dinamic_programming_2,6,0,0.0009980201721191406,0.00033059999998386047,1
greedy_approach,6,0,0.0,0.000123899999977084,1
branch_and_bound_len,6,0,0.0,3.6399999999048305e-05,7
branch_and_bound_cnt,6,0,0.0,5.6699999987586125e-05,7
pure_recursion,6,0,0.0249326229095459,0.024468799999993962,1
divide_and_conquer,6,0,0.000995635986328125,0.000513600000004999,1
dinamic_programming,6,0,0.0,4.720000001157132e-05,1
dinamic_programming_2,6,0,0.0009975433349609375,0.00035560000000600667,1
greedy_approach,6,0,0.0,8.489999999028441e-05,1
branch_and_bound_len,6,0,0.0,5.029999999806023e-05,7
branch_and_bound_cnt,6,0,0.0,6.179999999744723e-05,7
pure_recursion,6,0,0.02293872833251953,0.02288459999999759,1
divide_and_conquer,6,0,0.0,0.00038309999999341926,1
dinamic_programming,6,0,0.0,2.960000000484797e-05,1
dinamic_programming_2,6,0,0.0,0.00021340000000691361,1
greedy_approach,6,0,0.0,0.00014079999999694337,1
branch_and_bound_len,6,0,0.0,2.5699999980588473e-05,7
branch_and_bound_cnt,6,0,0.000997304916381836,5.55999999960477e-05,7
pure_recursion,6,0,0.022939205169677734,0.023316199999982246,1
divide_and_conquer,6,0,0.0,0.000388700000002018,1
dinamic_programming,6,0,0.0,4.6100000020032894e-05,1
dinamic_programming_2,6,0,0.0009984970092773438,0.0003629999999930078,1
greedy_approach,6,0,0.0,0.00013920000000666732,1
branch_and_bound_len,6,0,0.0,3.350000000068576e-05,7
branch_and_bound_cnt,6,0,0.0,5.769999998506137e-05,7
pure_recursion,6,0,0.023936986923217773,0.02383980000001884,1
divide_and_conquer,6,0,0.0,0.0003885000000138916,1
dinamic_programming,6,0,0.0,4.9599999982774534e-05,1
dinamic_programming_2,6,0,0.0,0.00037109999999529464,1
greedy_approach,6,0,0.0,8.520000000089567e-05,1
branch_and_bound_len,6,0,0.0,2.080000001569715e-05,7
branch_and_bound_cnt,6,0,0.0,3.309999999601132e-05,7
pure_recursion,6,0,0.020943403244018555,0.020902500000005375,1
divide_and_conquer,6,0,0.0009987354278564453,0.0004352999999923668,1
dinamic_programming,6,0,0.0,5.649999999945976e-05,1
dinamic_programming_2,6,0,0.0,0.0003667999999947824,1
greedy_approach,6,0,0.0009975433349609375,0.0001451000000258773,1
branch_and_bound_len,6,0,0.0,1.97999999898002e-05,7
branch_and_bound_cnt,6,0,0.0,5.69000000041342e-05,7
pure_recursion,6,0,0.022938013076782227,0.023505099999994172,1
divide_and_conquer,6,0,0.000997781753540039,0.0005331000000126096,1
dinamic_programming,6,0,0.0,4.979999999932261e-05,1
dinamic_programming_2,6,0,0.0009968280792236328,0.000396200000011504,1
greedy_approach,6,0,0.0,0.00013400000000274304,1
branch_and_bound_len,6,0,0.0,3.309999999601132e-05,7
branch_and_bound_cnt,6,0,0.0,5.649999999945976e-05,7
pure_recursion,6,0,0.024930953979492188,0.024091699999985394,1
divide_and_conquer,6,0,0.0009982585906982422,0.0005060999999955129,1
dinamic_programming,6,0,0.0,4.46999999894615e-05,1
dinamic_programming_2,6,0,0.0,0.00046950000000833825,1
greedy_approach,6,0,0.0,0.00014490000000932923,1
branch_and_bound_len,6,0,0.0,2.030000001695953e-05,7
branch_and_bound_cnt,6,0,0.0,3.1099999972639125e-05,7
pure_recursion,6,0,0.01495981216430664,0.01526730000000498,1
divide_and_conquer,7,0,0.0,0.0004839000000060878,1
dinamic_programming,7,0,0.0,4.710000001750814e-05,1
dinamic_programming_2,7,0,0.0,0.0004494000000079268,1
greedy_approach,7,0,0.0,0.00015099999998824387,1
branch_and_bound_len,7,0,0.0,3.699999999184911e-05,8
branch_and_bound_cnt,7,0,0.0,6.340000001614499e-05,8
pure_recursion,7,0,0.11768484115600586,0.11791460000000598,1
divide_and_conquer,7,0,0.0009980201721191406,0.0005249000000162596,1
dinamic_programming,7,0,0.0,4.7499999993760866e-05,1
dinamic_programming_2,7,0,0.000997304916381836,0.00042400000000952787,1
greedy_approach,7,0,0.0,0.00015039999999544307,1
branch_and_bound_len,7,0,0.0,3.799999998932435e-05,8
branch_and_bound_cnt,7,0,0.0,6.340000001614499e-05,8
pure_recursion,7,0,0.1296525001525879,0.12959259999999517,1
divide_and_conquer,7,0,0.000997304916381836,0.0006189000000063061,1
dinamic_programming,7,0,0.0,4.759999998782405e-05,1
dinamic_programming_2,7,0,0.0,0.00045479999999997744,1
greedy_approach,7,0,0.000997304916381836,0.00015490000001250337,1
branch_and_bound_len,7,0,0.0,3.699999999184911e-05,8
branch_and_bound_cnt,7,0,0.0,6.410000000300897e-05,8
pure_recursion,7,0,0.11269783973693848,0.1127844999999752,1
divide_and_conquer,7,0,0.0,0.0005888999999967837,1
dinamic_programming,7,0,0.0,5.210000000488435e-05,1
dinamic_programming_2,7,0,0.0,0.0005519999999989977,1
greedy_approach,7,0,0.0,0.00015070000000605432,1
branch_and_bound_len,7,0,0.0,3.8200000005872425e-05,8
branch_and_bound_cnt,7,0,0.0,5.079999999679785e-05,8
pure_recursion,7,0,0.12267184257507324,0.12255469999999491,1
divide_and_conquer,7,0,0.0009982585906982422,0.0006079999999997199,1
dinamic_programming,7,0,0.0,4.799999999249849e-05,1
dinamic_programming_2,7,0,0.0009968280792236328,0.00044189999999844076,1
greedy_approach,7,0,0.0,0.0001508999999941807,1
branch_and_bound_len,7,0,0.0,3.559999998969943e-05,8
branch_and_bound_cnt,7,0,0.0,6.57999999873482e-05,8
pure_recursion,7,0,0.12167525291442871,0.12180149999997525,1
