algorithm,len,ed,time,clock_time,calls
divide_and_conquer,1,1.0,0.0,6.499999983589078e-06,1
dinamic_programming,1,1.0,0.0009965896606445312,0.00012309999999615684,1
dinamic_programming_2,1,1.0,0.0,9.110000002010565e-05,1
greedy_approach,1,1.0,0.0,6.079999997155028e-05,1
branch_and_bound_len,1,1.0,0.0,1.889999998638814e-05,6
branch_and_bound_cnt,1,1.0,0.0,2.380000000812288e-05,6
pure_recursion,1,1.0,0.0,9.70000002098459e-06,1
divide_and_conquer,1,1.0,0.0,5.499999986113835e-06,1
dinamic_programming,1,1.0,0.0,7.329999999683423e-05,1
dinamic_programming_2,1,1.0,0.0,8.409999998093554e-05,1
greedy_approach,1,1.0,0.0,6.719999998949788e-05,1
branch_and_bound_len,1,1.0,0.0,1.3800000033370452e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.6899999991437653e-05,6
pure_recursion,1,1.0,0.0,7.900000014160469e-06,1
divide_and_conquer,1,0.0,0.0,5.7999999967250915e-06,1
dinamic_programming,1,0.0,0.0,2.6800000000548607e-05,1
dinamic_programming_2,1,0.0,0.0009965896606445312,6.439999998519852e-05,1
greedy_approach,1,0.0,0.0,3.9899999990211654e-05,1
branch_and_bound_len,1,0.0,0.0,8.199999967928306e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.2000000026546331e-05,2
pure_recursion,1,0.0,0.0,7.799999991675577e-06,1
divide_and_conquer,1,1.0,0.0,4.400000022997119e-06,1
dinamic_programming,1,1.0,0.0,7.249999998748535e-05,1
dinamic_programming_2,1,1.0,0.0,8.079999997789855e-05,1
greedy_approach,1,1.0,0.0,5.0999999984924216e-05,1
branch_and_bound_len,1,1.0,0.0,1.7500000012660166e-05,6
branch_and_bound_cnt,1,1.0,0.0,1.810000003388268e-05,6
pure_recursion,1,1.0,0.0,9.199999965403549e-06,1
divide_and_conquer,1,1.0,0.0,4.400000022997119e-06,1
dinamic_programming,1,1.0,0.000997781753540039,7.4200000028668e-05,1
dinamic_programming_2,1,1.0,0.0,8.180000003221721e-05,1
greedy_approach,1,1.0,0.0,5.4099999999834836e-05,1
branch_and_bound_len,1,1.0,0.0,1.8000000011397788e-05,6
branch_and_bound_cnt,1,1.0,0.0,2.2999999998774e-05,6
pure_recursion,1,1.0,0.0,8.600000001024455e-06,1
divide_and_conquer,1,1.0,0.0,4.199999978027336e-06,1
dinamic_programming,1,1.0,0.0,7.060000001501976e-05,1
dinamic_programming_2,1,1.0,0.0,8.220000000846994e-05,1
greedy_approach,1,1.0,0.0,5.29999999798747e-05,1
branch_and_bound_len,1,1.0,0.0,1.7399999990175274e-05,6
branch_and_bound_cnt,1,1.0,0.0,2.419999998437561e-05,6
pure_recursion,1,1.0,0.0,8.600000001024455e-06,1
divide_and_conquer,1,1.0,0.0,4.100000012385863e-06,1
dinamic_programming,1,1.0,0.0,6.949999999505962e-05,1
dinamic_programming_2,1,1.0,0.0,8.259999998472267e-05,1
