algorithm,len,ed,time,clock_time,calls
dinamic_programming,1,0.0,0.0,3.0100000000032878e-05,1
branch_and_bound_len,1,0.0,0.0,9.500000000883801e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.4200000000741397e-05,2
dinamic_programming,1,0.0,0.0,2.480000000026905e-05,1
branch_and_bound_len,1,0.0,0.0,8.600000001024455e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.2200000000461841e-05,2
dinamic_programming,1,0.0,0.0,6.0100000000673504e-05,1
branch_and_bound_len,1,0.0,0.0,1.270000000097582e-05,2
branch_and_bound_cnt,1,0.0,0.0,3.3300000000124896e-05,2
dinamic_programming,1,0.0,0.0,3.640000000082466e-05,1
branch_and_bound_len,1,0.0,0.0,8.899999999201214e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.270000000097582e-05,2
dinamic_programming,1,0.0,0.0,2.630000000003463e-05,1
branch_and_bound_len,1,0.0,0.0,8.299999999294982e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.2199999998685485e-05,2
dinamic_programming,1,0.0,0.0,2.3999999999801958e-05,1
branch_and_bound_len,1,0.0,0.0,7.399999999435636e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1699999999947863e-05,2
dinamic_programming,1,0.0,0.0,4.410000000021341e-05,1
branch_and_bound_len,1,0.0,0.0,7.20000000065113e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1500000001163357e-05,2
dinamic_programming,1,0.0,0.0,4.290000000040095e-05,1
branch_and_bound_len,1,0.0,0.0,7.5000000006042455e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1399999999994748e-05,2
dinamic_programming,1,0.0,0.0,4.269999999984009e-05,1
branch_and_bound_len,1,0.0,0.0,7.699999999388751e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.1799999999340116e-05,2
dinamic_programming,1,0.0,0.0,2.5400000000175282e-05,1
branch_and_bound_len,1,0.0,0.0,7.5000000006042455e-06,2
branch_and_bound_cnt,1,0.0,0.0,1.4000000000180535e-05,2
dinamic_programming,2,0.0,0.0,2.6599999999987745e-05,1
branch_and_bound_len,2,0.0,0.0,1.0299999999574538e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.8299999998916405e-05,3
dinamic_programming,2,0.0,0.0,2.4500000000315936e-05,1
branch_and_bound_len,2,0.0,0.0,1.0100000000790033e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.7199999998496196e-05,3
dinamic_programming,2,0.0,0.0,2.3599999998680232e-05,1
branch_and_bound_len,2,0.0,0.0,9.90000000022917e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.6799999999150828e-05,3
dinamic_programming,2,0.0,0.0,4.500000000007276e-05,1
branch_and_bound_len,2,0.0,0.0,9.600000000276054e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.650000000097407e-05,3
dinamic_programming,2,0.0,0.0,2.5700000000128398e-05,1
branch_and_bound_len,2,0.0,0.0,9.499999999107445e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.5799999999899228e-05,3
dinamic_programming,2,0.0,0.0,2.309999999994261e-05,1
branch_and_bound_len,2,0.0,0.0,9.600000000276054e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.650000000097407e-05,3
dinamic_programming,2,0.0,0.0,2.5600000000736145e-05,1
branch_and_bound_len,2,0.0,0.0,9.500000000883801e-06,3
branch_and_bound_cnt,2,0.0,0.0,9.040000000126724e-05,3
dinamic_programming,2,0.0,0.000978231430053711,5.7400000001095464e-05,1
branch_and_bound_len,2,0.0,0.0,1.1100000000041632e-05,3
branch_and_bound_cnt,2,0.0,0.0,1.759999999961792e-05,3
dinamic_programming,2,0.0,0.0,2.9500000000126647e-05,1
branch_and_bound_len,2,0.0,0.0,9.400000001491549e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.6499999999197712e-05,3
dinamic_programming,2,0.0,0.0,2.5499999999567535e-05,1
branch_and_bound_len,2,0.0,0.0,9.299999998546582e-06,3
branch_and_bound_cnt,2,0.0,0.0,1.6600000000366322e-05,3
dinamic_programming,3,0.0,0.0,2.590000000068926e-05,1
branch_and_bound_len,3,0.0,0.0,1.2299999999854094e-05,4
branch_and_bound_cnt,3,0.0,0.0,2.0100000000411455e-05,4
dinamic_programming,3,0.0,0.0,4.179999999998074e-05,1
branch_and_bound_len,3,0.0,0.0,1.430000000013365e-05,4
branch_and_bound_cnt,3,0.0,0.0,2.0700000000317686e-05,4
dinamic_programming,3,0.0,0.0,2.5499999999567535e-05,1
branch_and_bound_len,3,0.0,0.0,1.1999999999900979e-05,4
branch_and_bound_cnt,3,0.0,0.0,1.940000000111297e-05,4
